,Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
0,We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3,vacant,1960.0,dhaka,"৳39,000,000","Gulshan 1, Gulshan"
1,Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1,vacant,1705.0,dhaka,"৳16,900,000","Lake Circus Road, Kalabagan"
2,1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6,vacant,1370.0,dhaka,"৳12,500,000","Shukrabad, Dhanmondi"
3,"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4,vacant,2125.0,dhaka,"৳20,000,000","Block L, Bashundhara R-A"
4,Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,4,vacant,2687.0,dhaka,"৳47,500,000","Road No 25, Banani"
5,Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3,vacant,1150.0,dhaka,"৳8,800,000","Middle Badda, Badda"
6,"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,8,vacant,2119.0,dhaka,"৳19,000,000","Block B, Bashundhara R-A"
7,Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2,vacant,2318.0,dhaka,"৳23,000,000","Block D, Bashundhara R-A"
8,Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8,vacant,1397.0,dhaka,"৳8,000,000","Matuail, Demra"
9,Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1,vacant,2400.0,dhaka,"৳20,000,000","Block H, Aftab Nagar"
10,1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
11,Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
12,1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
13,1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1,vacant,1900.0,dhaka,"৳21,000,000","Block B, Bashundhara R-A"
14,Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5,vacant,1500.0,dhaka,"৳11,000,000","Block H, Aftab Nagar"
15,Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3,vacant,1450.0,dhaka,"৳9,500,000","Sector 10, Uttara"
